"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2006";4,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2007";4,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2008";8,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2009";5,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2010";6,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2011";5,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2012";5,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2013";6,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2014";6,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2015";6,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2016";8,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2017";7,37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2018";7,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cytryny - za 1 kg";"cena";"2019";7,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2006";4,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2007";4,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2008";8,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2009";5,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2010";6,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2011";5,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2012";5,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2013";6,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2014";6,26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2015";6,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2016";8,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2017";7,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2018";8,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cytryny - za 1 kg";"cena";"2019";7,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cytryny - za 1 kg";"cena";"2006";4,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cytryny - za 1 kg";"cena";"2007";4,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cytryny - za 1 kg";"cena";"2008";8,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cytryny - za 1 kg";"cena";"2009";5,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cytryny - za 1 kg";"cena";"2010";6,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cytryny - za 1 kg";"cena";"2011";5,31;"zł";"";
