"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2013";2,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2014";2,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2015";2,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2016";2,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2017";2,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2018";3,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jabłka - za 1kg";"cena";"2019";2,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2013";2,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2014";2,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2015";2,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2016";2,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2017";2,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2018";3,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jabłka - za 1kg";"cena";"2019";2,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jabłka - za 1kg";"cena";"2006";;"zł";"";
