"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2006";1,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2007";1,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2008";1,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2009";2,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2010";1,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2011";2,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2012";1,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2013";1,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2014";1,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2015";1,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2016";2,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2017";1,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2018";2,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2019";3,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2006";1,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2007";1,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2008";1,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2009";2,33;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2010";1,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2011";2,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2012";1,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2013";1,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2014";2,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2015";1,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2016";2,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2017";1,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2018";2,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2019";3,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2006";1,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2007";1,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2008";1,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2009";2,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2010";1,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2011";2,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2012";2,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2013";2,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2014";2,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2015";2,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2016";2,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2017";1,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2018";2,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"marchew - za 1 kg";"cena";"2019";3,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"marchew - za 1 kg";"cena";"2006";1,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"marchew - za 1 kg";"cena";"2007";1,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"marchew - za 1 kg";"cena";"2008";2,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"marchew - za 1 kg";"cena";"2009";3,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"marchew - za 1 kg";"cena";"2010";2,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"marchew - za 1 kg";"cena";"2011";2,65;"zł";"";
