"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2013";5,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2014";5,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2015";5,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2016";5,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2017";5,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2018";6,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2019";5,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2013";4,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2014";4,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2015";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2016";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2017";6,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2018";5,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2019";5,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2013";4,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2014";4,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2015";4,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2016";4,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2017";5,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2018";5,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2019";5,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2013";4,81;"zł";"";
